이름,경기,안타,홈런,타점강백호,0.395,102,9,59,
양의지,0.350,85,19,69,
이정후,0.344,97,3,48,
정훈,0.338,91,9,48,
홍창기,0.337,89,3,31,
박건우,0.337,70,2,36,
강민호,0.335,75,11,44,
전준우,0.335,93,4,47,
페르난데스,0.328,87,10,46,
노진혁,0.324,67,6,37,
허경민,0.322,87,4,29,
안치홍,0.321,63,4,44,
피렐라,0.319,99,19,62,
채은성,0.317,71,12,50,
손아섭,0.310,90,1,29,
정은원,0.305,80,4,20,
최원준,0.301,88,1,24,
박해민,0.301,78,3,32,
최정,0.301,71,20,56,
김혜성,0.299,92,3,42,
이명기,0.295,54,2,14,
김선빈,0.295,76,2,37,
김현수,0.292,77,12,47,
구자욱,0.290,81,10,50,
송우현,0.289,68,2,38,
하주석,0.288,77,4,31,
배정대,0.282,72,4,39,
심우준,0.282,59,4,28,
나성범,0.281,83,15,49,
알테어,0.281,70,18,46,
